Title;Artist;Genre;Track URL;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms;time_signature
Hey Gringo;KALEO;Blues;https://open.spotify.com/track/4aPeeN8IYOCMNBGI0p7169;0.748;0.704;5.0;-4.512;0.0;0.0344;0.0741;0.0;0.088;0.823;110.028;284799.0;4.0
For the Love of Money;The Black Keys;Blues;https://open.spotify.com/track/5jH6P7e6RUGZnFGTeq3pUe;0.571;0.626;5.0;-6.929;0.0;0.0372;0.174;0.0017;0.111;0.523;97.191;211200.0;4.0
Mississippi Phone Booth;John Hiatt, Jerry Douglas;Blues;https://open.spotify.com/track/4o344C2p7wwpWRmQIVsdkL;0.539;0.591;9.0;-8.505;1.0;0.0497;0.334;0.00387;0.115;0.641;178.251;186430.0;4.0
When Everything Went Wrong (from the series Arcane League of Legends);Fantastic Negrito, Arcane, League of Legends;Blues;https://open.spotify.com/track/6eyXbdbCiKVqcGATsPdtJr;0.686;0.906;4.0;-6.157;1.0;0.0881;0.28;0.000179;0.184;0.466;113.017;193095.0;4.0
CRY;Jon Batiste;Blues;https://open.spotify.com/track/4fwCa8XejynU81AhXovR9r;0.738;0.507;9.0;-6.991;0.0;0.0272;0.231;0.0014;0.0722;0.699;80.026;237244.0;4.0
Crawling Kingsnake;The Black Keys;Blues;https://open.spotify.com/track/4Yk7nkmqitDCycO0Z0UsKe;0.384;0.827;5.0;-5.727;0.0;0.035;0.0421;0.526;0.111;0.502;86.12;368702.0;4.0
Never Tear Us Apart;The Teskey Brothers;Blues;https://open.spotify.com/track/69f9M3HycGvWEApwjD4Jp1;0.322;0.596;0.0;-5.175;1.0;0.0358;0.828;0.0944;0.126;0.338;188.968;204607.0;3.0
We Need To Talk About It;Ben Harper;Blues;https://open.spotify.com/track/2oIBjeGgsdb5mEB7t32UzI;0.753;0.577;2.0;-7.42;1.0;0.139;0.181;0.000964;0.108;0.435;84.997;173678.0;4.0
Made Up Mind;Bonnie Raitt;Blues;https://open.spotify.com/track/2M13EkwriCE63GAg4lZ97z;0.492;0.617;2.0;-6.165;1.0;0.0586;0.365;4.09e-05;0.0915;0.637;176.915;220880.0;4.0
Motherless Child - Live at the Fillmore, San Francisco, 1994;Eric Clapton;Blues;https://open.spotify.com/track/3CpPyzIFwsy2mowHERLDxi;0.447;0.871;11.0;-7.674;1.0;0.0458;0.334;0.00225;0.984;0.633;153.71;204627.0;4.0
