Title;Artist;Genre;Keywords;Scores
Hey Gringo;KALEO;Blues;smokin, cigarettes, whew, else, somethin, mexico, light, yeah-yeah, truth, woah, whoa, sold, saying, whew-oo-ooh, woman, bueno, amigo, tranquilo, gringo, choked, alive, whatever's, stay, woman's, fighter, spoken, rear, could, laying, soul, wanting, said, naked, hey, awake, she'll, tell, yeah, sex, lover, go, drugs, better, outta, trouble, long, rock, gold, roll, keep, smoke, low, lookin, slow, knew, let, die, enough, try, another, told, know, oh, man, gonna, leave, right, day, good, i've, come, take, got, can't, get, see, i'm;0.219, 0.108, 0.094, 0.066, 0.063, 0.059, 0.05, 0.042, 0.029, 0.028, 0.028, 0.027, 0.025, 0.022, 0.022, 0.022, 0.022, 0.022, 0.022, 0.02, 0.02, 0.02, 0.019, 0.019, 0.018, 0.018, 0.018, 0.018, 0.018, 0.017, 0.017, 0.016, 0.016, 0.015, 0.014, 0.014, 0.013, 0.013, 0.013, 0.013, 0.012, 0.012, 0.012, 0.012, 0.012, 0.012, 0.011, 0.011, 0.01, 0.01, 0.01, 0.01, 0.009, 0.009, 0.009, 0.008, 0.008, 0.008, 0.007, 0.007, 0.007, 0.006, 0.006, 0.006, 0.006, 0.006, 0.005, 0.005, 0.005, 0.005, 0.004, 0.004, 0.003, 0.003, 0.003, 0.003, 0.001
For the Love of Money;The Black Keys;Blues;money, bill, love, anything, tall, dollar, green, bright, name, goodness, cheats, vice, acres, greenback, sale, deals, buildings, soul's, highest, riches, fools, acting, would, liars, god's, yeah, buddy, price, fat, souls, hill, climb, told, sell, paradise, we're, honey, trouble, funny, shame, shine, diamonds, gold, streets, buy, making, taste, yes, lies, gettin, knows, nothin, start, enough, friends, turn, got, old, get, good, tell, need, back, never, like;0.141, 0.056, 0.054, 0.051, 0.049, 0.047, 0.04, 0.039, 0.036, 0.036, 0.036, 0.034, 0.034, 0.032, 0.032, 0.032, 0.032, 0.03, 0.029, 0.029, 0.029, 0.028, 0.028, 0.028, 0.027, 0.026, 0.025, 0.025, 0.025, 0.025, 0.024, 0.024, 0.024, 0.024, 0.023, 0.021, 0.021, 0.02, 0.02, 0.02, 0.02, 0.02, 0.019, 0.019, 0.018, 0.018, 0.018, 0.017, 0.017, 0.016, 0.016, 0.015, 0.015, 0.013, 0.013, 0.012, 0.012, 0.012, 0.009, 0.009, 0.007, 0.007, 0.005, 0.005, 0.003
Mississippi Phone Booth;John Hiatt, Jerry Douglas;Blues;booth, mississippi, phone, hang, please, eight-ball, vodka, quart, camaro, operator, smithereens, orleans, dimes, t-shirt, memphis, pumping, pounding, bugs, jackson, flat, station, change, cocaine, flying, jesus, blew, everywhere, south, gas, callin, outta, somewhere, middle, black, time, crazy, close, line, enough, run, light, new, everything, would, call, mind, put, heart, night, tell, need, i'm;0.271, 0.253, 0.148, 0.083, 0.058, 0.048, 0.048, 0.048, 0.048, 0.048, 0.046, 0.046, 0.044, 0.044, 0.043, 0.043, 0.043, 0.043, 0.041, 0.041, 0.041, 0.036, 0.036, 0.036, 0.035, 0.034, 0.033, 0.032, 0.031, 0.03, 0.029, 0.026, 0.026, 0.022, 0.021, 0.021, 0.02, 0.019, 0.018, 0.017, 0.017, 0.016, 0.015, 0.014, 0.014, 0.013, 0.012, 0.012, 0.011, 0.01, 0.01, 0.006
When Everything Went Wrong (from the series Arcane League of Legends);Fantastic Negrito, Arcane, League of Legends;Blues;went, wrong, everything, concrete, that's, floor, lay, die, devils, coming, starting, beer, scatting, fume, sidewalk, flare, lined, goon, soon, da, temper, doom, ninety-nine, neighbor, startin, willing, bottles, kickin, sippin, shadow, foot, sitting, ran, seven, dust, ooh, ways, fly, smoke, looking, they're, broken, mama, past, start, room, cry, came, friends, break, til, time, heart, come, know, baby, oh;0.218, 0.182, 0.148, 0.119, 0.09, 0.064, 0.064, 0.056, 0.044, 0.043, 0.038, 0.03, 0.027, 0.027, 0.025, 0.025, 0.025, 0.025, 0.024, 0.023, 0.023, 0.023, 0.023, 0.022, 0.02, 0.02, 0.019, 0.018, 0.017, 0.017, 0.017, 0.016, 0.016, 0.016, 0.015, 0.014, 0.014, 0.013, 0.012, 0.012, 0.012, 0.012, 0.012, 0.011, 0.011, 0.011, 0.011, 0.01, 0.009, 0.009, 0.008, 0.007, 0.006, 0.005, 0.005, 0.005, 0.004
CRY;Jon Batiste;Blues;cry, gonna, fight, imprisonment, wrongful, immigrants, innocence, sometimes, floods, shove, struggle, wanna, feel, how's, loss, rising, push, who's, seem, falling, pay, tears, comes, keep, alright, getting, okay, love, make, say, real, like, oh;0.683, 0.055, 0.05, 0.038, 0.038, 0.036, 0.036, 0.036, 0.034, 0.034, 0.03, 0.03, 0.03, 0.03, 0.029, 0.026, 0.023, 0.022, 0.022, 0.02, 0.02, 0.019, 0.019, 0.018, 0.017, 0.017, 0.016, 0.016, 0.014, 0.014, 0.013, 0.007, 0.006
Crawling Kingsnake;The Black Keys;Blues;crawl, crawling, snake, door, king, babe, anything, window, floor, want, crawlin, wanna, mom, feed, well, girls, caught, ready, catch, mama, wanted, coming, going, big, yeah, thing, i'ma, know, see, love, i'm;0.402, 0.205, 0.18, 0.136, 0.126, 0.117, 0.054, 0.043, 0.037, 0.036, 0.034, 0.028, 0.026, 0.024, 0.023, 0.019, 0.018, 0.018, 0.017, 0.017, 0.016, 0.015, 0.015, 0.014, 0.014, 0.013, 0.013, 0.007, 0.006, 0.005, 0.004
Never Tear Us Apart;The Teskey Brothers;Blues;collided, worlds, standing, could, two, ever, never, tear, apart, us, precious, wings, wine, thousand, fly, tears, hurt, years, ask, true, live, told, i'd, oh, ooh, yeah, heart, tell, know, make, cause, love;0.22, 0.178, 0.122, 0.083, 0.07, 0.053, 0.052, 0.052, 0.048, 0.036, 0.035, 0.03, 0.025, 0.023, 0.021, 0.021, 0.02, 0.02, 0.02, 0.019, 0.016, 0.015, 0.015, 0.013, 0.012, 0.011, 0.011, 0.009, 0.008, 0.008, 0.006, 0.006
We Need To Talk About It;Ben Harper;Blues;slavery, talk, need, say, guessing, us, fairness, justice, reparation, seller, buyer, racist, compassion, africa, christian, heals, forgiveness, hundreds, slave, wounds, whoever, america, law, lesson, taken, forgive, ghost, either, history, says, supposed, single, million, lives, land, matter, years, black, live, long, said, that's, one, time, can't, cause, i'm;0.174, 0.128, 0.075, 0.06, 0.052, 0.032, 0.029, 0.029, 0.029, 0.029, 0.029, 0.029, 0.027, 0.026, 0.025, 0.024, 0.023, 0.023, 0.023, 0.023, 0.023, 0.022, 0.02, 0.02, 0.019, 0.019, 0.019, 0.019, 0.019, 0.018, 0.017, 0.016, 0.016, 0.016, 0.015, 0.014, 0.013, 0.013, 0.011, 0.008, 0.007, 0.006, 0.005, 0.004, 0.004, 0.004, 0.003
Made Up Mind;Bonnie Raitt;Blues;spotlight, serenade, get-away, moonlight, slamming, shining, made, mind, break, wheels, quiet, rhyme, straight, starts, behind, door, line, wrong, gone, rainstorm, dance, symphony, tin, goes, slow, note, heart, melody, wasted, roof, ends, ahead, pretty, soon, love, ain't, alone, bad, always, long, go, could, way, time, like;0.115, 0.096, 0.096, 0.092, 0.09, 0.085, 0.078, 0.067, 0.067, 0.062, 0.059, 0.055, 0.046, 0.044, 0.042, 0.038, 0.036, 0.035, 0.034, 0.032, 0.03, 0.029, 0.029, 0.028, 0.027, 0.025, 0.023, 0.022, 0.021, 0.021, 0.02, 0.019, 0.015, 0.014, 0.013, 0.011, 0.01, 0.01, 0.009, 0.009, 0.009, 0.007, 0.006, 0.004, 0.003
Motherless Child - Live at the Fillmore, San Francisco, 1994;Eric Clapton;Blues;ham, boiled, mistreat, well, women, bones, rocking, where'd, tangled, going, chair, girl, hand, harm, honey, river, daddy, overtake, motherless, running, jelly, mama, pretty, far, mean, sure, please, dollar, done, shining, last, blues, one's, two, bottom, none, ever, stay, child, get, always, bright, till, rock, give, burn, lord, bet, he's, lot, night, tell, sun, wrong, see, home, man, go, away, right, let, come, i'm, one, ain't, got, know;0.089, 0.064, 0.064, 0.058, 0.057, 0.055, 0.053, 0.053, 0.051, 0.05, 0.05, 0.049, 0.048, 0.048, 0.037, 0.035, 0.034, 0.032, 0.032, 0.03, 0.03, 0.029, 0.029, 0.027, 0.027, 0.026, 0.024, 0.021, 0.021, 0.021, 0.021, 0.02, 0.02, 0.02, 0.019, 0.019, 0.019, 0.018, 0.018, 0.017, 0.017, 0.017, 0.017, 0.016, 0.016, 0.016, 0.015, 0.015, 0.015, 0.014, 0.014, 0.013, 0.012, 0.011, 0.01, 0.01, 0.009, 0.009, 0.008, 0.007, 0.006, 0.006, 0.005, 0.005, 0.005, 0.004, 0.003
Going Down South;The Black Keys;Blues;south, going, rather, chilly, dead, babe, blow, man, wind, i'd, hanging, six, ground, he's, i'm, feet, care, always, around, go;0.34, 0.323, 0.15, 0.129, 0.121, 0.121, 0.076, 0.074, 0.068, 0.046, 0.045, 0.037, 0.035, 0.031, 0.03, 0.03, 0.029, 0.019, 0.017, 0.009
Souled Out On You;Robert Finley;Blues;souled, sad, true, pity, we've, cryin, shame, matter, city, ain't, heart, spell, done, hard, i'm, understand, today, pray, still, save, hide, feel, nothin, whole, hell, pain, best, hand, try, world, man, us, gonna, got, put, that's, way, tell, say, yeah;0.396, 0.085, 0.066, 0.047, 0.047, 0.039, 0.034, 0.029, 0.026, 0.026, 0.022, 0.022, 0.02, 0.018, 0.017, 0.015, 0.015, 0.015, 0.014, 0.014, 0.014, 0.012, 0.012, 0.012, 0.012, 0.011, 0.011, 0.011, 0.01, 0.009, 0.008, 0.008, 0.008, 0.007, 0.007, 0.006, 0.006, 0.006, 0.005, 0.004
Black Myself;Amythyst Kiah;Blues;black, washed, cause, horses, bred, shipping, lamb's, rotted, chattel, work, blood, stopped, anyway, sneer, banjo, i'm, gal, stand, surrounded, creek, creep, precious, away, sweep, bless, fence, doors, lock, test, anywhere, paper, wash, jump, brand, face, proud, shoes, born, lovin, wanna, ooh, pass, walkin, ground, tired, tears, arms, pick, bag, smile, many, feet, free, walk, round, god, new, gonna, still, there's, go, around, eyes, look, better, i've, right, i'll, see, ain't, yeah;0.329, 0.059, 0.054, 0.052, 0.047, 0.047, 0.047, 0.044, 0.044, 0.039, 0.033, 0.031, 0.03, 0.024, 0.024, 0.023, 0.022, 0.021, 0.021, 0.02, 0.019, 0.019, 0.018, 0.018, 0.017, 0.017, 0.016, 0.016, 0.016, 0.015, 0.015, 0.015, 0.015, 0.014, 0.014, 0.014, 0.014, 0.013, 0.013, 0.013, 0.013, 0.013, 0.013, 0.012, 0.012, 0.011, 0.011, 0.011, 0.011, 0.01, 0.01, 0.01, 0.009, 0.009, 0.009, 0.008, 0.007, 0.007, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.005, 0.005, 0.004, 0.004, 0.004, 0.003
